word,count
"idly",1
"if",46
"ilex-trees",1
"ill",8
"ills",3
"illustration",30
"illustration01",1
"illustration02",1
"illustration03",1
"illustration04",1
"illustration05",1
"illustration06",1
"illustration07",1
"illustration08",1
"illustration09",1
"illustration10",1
"illustration11",1
"illustration12",1
"illustration13",1
"illustration14",1
"illustration15",1
"image",11
"images",2
"imagination",4
"imagine",1
"immediately",17
"impiety",1
"impossible",2
"in",854
"inch",2
"include",15
"increased",2
"increases",1
"indeed",2
"indignation",2
"ingibiorg",2
"inherit",2
"inheritance",1
"inheritors",1
"inner",1
"innocency",1
"innumerable",1
"inshore",1
"instant",12
"instantly",8
"instead",5
"intended",1
"intent",8
"intention",1
"into",158
"inventions",2
"inward",1
"inwardly",5
"ireland",2
"iron",2
"ironwork",1
"is",314
"island",2
"islands",1
"isle",3
"isles",2
"isoud",2
"issued",3
"it",864
"ivory",1
"jason",1
"jeered",1
"jesting",1
"jewel",1
"jogging",1
"joined",1
"jostled",1
"jot",1
"journey",6
"journeyed",1
"journeying",1
"joy",28
"joyance",1
"joyed",1
"joyful",3
"joyfully",10
"joyous",1
"joyously",2
"joys",1
"jpg",15
"judged",2
"judging",2
"judgment",1
"just",1
"justice",1
"keep",13
"keeping",1
"kept",20
"kerioc",14
"key",8
"keys",6
"kiartan",12
"kick",1
"kicking",1
"kids",1
"killed",1
"kin",3
"kind",7
"kindled",5
"kindling",1
"kindly",8
"kindness",3
"kindred",2
"kinds",2
"kine",1
"king",3
"kingcups",1
"kingdom",1
"kings",1
"kissed",7
"kisses",3
"knee",1
"kneel",1
"kneeled",3
"kneeling",1
"knees",6
"knelt",1
"knew",118
"knife",9
"knight",5
"knight's",2
"knighthood",1
"knights",11
"knock",2
"knocked",3
"knole",1
"knot",1
"knotted",2
"know",47
"knowing",1
"knowledge",12
"known",14
"knows",6
"labour",1
"lace",1
"lack",4
"lacked",2
"lad",1
"ladies",1
"lady",70
"lady's",7
"lady-smocks",1
"lagging",1
"laid",26
"lambs",1
"lame",1
"lamented",1
"lamp",3
"lancelot",2
"land",52
"lands",9
"landward",1
"lantern",2
"lanthorn",2
"lanthorns",1
"lapping",1
"large",2
"last",48
"late",4
"lattice",1
"laugh",1
"laughed",22
"laughing",2
"laughter",8
"laurels",2
"law",2
"law-breaker",1
"lawful",1
"lawn",4
"lay",65
"laying",1
"laylock",5
"lead",4
"leading",1
"leaf",2
"league",1
"lean",1
"leaned",12
"leaped",2
"leaping",4
"leaps",4
"leapt",10
"learn",3
"learned",4
"leash",1
"least",1
"leave",19
"leaves",4
"led",18
"left",67
"legs",1
"leila",1
"length",1
"less",2
"lesser",1
"lest",13
"let",16
"letters",2
"level",1
"levelled",1
"licked",1
"lie",3
"liege",1
"lies",4
"liever",1
"life",68
"life-days",7
